formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
2	C52H91N5O6	[M - H2O + H]+	C52H90N5O5+	Amino acids and Peptides	0.609	Oligopeptides	0.401	Open-chain polyketides	0.275	Organic acids and derivatives	0.982	Carboxylic acids and derivatives	0.913	Amino acids, peptides, and analogues	0.594	Amino acids and derivatives	0.576	Amino acids and derivatives	0.576	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ketones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	864.697	28	0.464	839079746797015967	839079602064162506	839079602043190985	1	
1	C50H99NO9	[M + Na]+	C50H99NNaO9+	Terpenoids	0.876	Meroterpenoids	0.981	Prenyl quinone meroterpenoids	0.961	Lipids and lipid-like molecules	0.965	Prenol lipids	0.988	Quinone and hydroquinone lipids	0.897	Prenylquinones	0.952	Ubiquinones	0.869	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Quinone and hydroquinone lipids; Ubiquinones; Secondary carboxylic acid amides; Polyterpenoids; Carbonyl compounds; Benzoquinones; P-benzoquinones; Quinones; Prenylquinones; Cyclic ketones; Vinylogous esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	880.719	28	0.465	839079756183869416	839079602361958094	839079602353569485	2	
1	C50H99NO10	[M + Na]+	C50H99NNaO10+	Terpenoids	0.616	Meroterpenoids	0.519	Open-chain polyketides	0.574	Lipids and lipid-like molecules	0.922	Fatty Acyls	0.534	Fatty amides	0.538			Fatty amides	0.538	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	896.713	28	0.467	839079746503414625	839079602504564434	839079602500370129	3	
5	C55H98O10	[M + H3N + H]+	C55H102NO10+	Fatty acids	1.000	Glycerolipids	0.999	Triacylglycerols	0.833	Lipids and lipid-like molecules	0.970	Glycerolipids	0.995	Triradylcglycerols	0.927	Triacylglycerols	0.923	Triacylglycerols	0.923	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	936.750	28	0.468	839079749468787856	839079602622004950	839079602617810645	4	
4	C42H78O9	[M + H3N + H]+	C42H82NO9+	Terpenoids	0.945	Meroterpenoids	0.996	Prenyl quinone meroterpenoids	0.998	Lipids and lipid-like molecules	0.982	Prenol lipids	0.994	Quinone and hydroquinone lipids	0.954	Prenylquinones	0.918	Polyprenylbenzoquinones	0.565	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Polyprenylbenzoquinones; Fatty alcohols; Quinone and hydroquinone lipids; Ubiquinones; Sesterterpenoids; Polyterpenoids; Carbonyl compounds; Benzoquinones; P-benzoquinones; Quinones; Prenylquinones; Cyclic ketones; Vinylogous esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	744.593	28	0.468	839079749477176482	839079603016269546	839079603012075241	9	
2	C49H74O4	[M + H]+	C49H75O4+	Terpenoids	1.000	Meroterpenoids	1.000	Prenyl quinone meroterpenoids	1.000	Lipids and lipid-like molecules	0.998	Prenol lipids	1.000	Quinone and hydroquinone lipids	0.998	Prenylquinones	0.998	Polyprenylbenzoquinones	0.993	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organic acids and derivatives; Organooxygen compounds; Polyprenylbenzoquinones; Quinone and hydroquinone lipids; Ubiquinones; Polyterpenoids; Carbonyl compounds; Benzoquinones; P-benzoquinones; Quinones; Prenylquinones; Cyclic ketones; Vinylogous esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	727.566	28	0.468	839079750676747531	839079602932383462	839079602928189157	8	
4	C42H75N5O6	[M - H2O + H]+	C42H74N5O5+	Alkaloids	0.387	Linear polyketides	0.245	Open-chain polyketides	0.352	Organic acids and derivatives	0.912	Carboxylic acids and derivatives	0.889	Amino acids, peptides, and analogues	0.553	Amino acids and derivatives	0.548	Amino acids and derivatives	0.548	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	728.572	28	0.468	839079746805404603	839079603091767022	839079603087572717	10	
1	C42H83NO11	[M - H2O + H]+	C42H82NO10+	Polyketides	0.490	Macrolides	0.736	Open-chain polyketides	0.520	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.509	Monosaccharides	0.538	Monosaccharides	0.538	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	760.587	28	0.470	839079750165042392	839079603305676538	839079603305676537	13	
2	C10H12O4	[M + H]+	C10H13O4+	Shikimates and Phenylpropanoids	0.543	Phenylpropanoids (C6-C3)	0.709	Cinnamic acids and derivatives	0.599	Benzenoids	0.999	Phenols	0.858	Methoxyphenols	0.926			Methoxyphenols	0.926	Organic compounds; Aldehydes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl-aldehydes; Organic oxides; Dimethoxybenzenes; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	197.081	28	0.472	839079745320620730	839079603238567670	839079603234373365	12	
1	C34H64O	[M + H3N + H]+	C34H68NO+	Terpenoids	0.922	Diterpenoids	0.191	Prenyl quinone meroterpenoids	0.289	Lipids and lipid-like molecules	0.908	Prenol lipids	0.732					Prenol lipids	0.732	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	506.529	29	0.479	839079778958942138	839079603444088578	839079603439894273	15	
